,0,1,2,3,4,5,6,7,8,9,10,11
255,5,1,31,1,2,1,180,1511,679,28,95.000000, 
256,2,1,32,0,0,0,1384,1743,86,213,-1,
257,3,1,32,1,0,0,1384,1743,86,213,-1,
258,4,1,32,1,1,0,1384,1743,86,213,-1,
259,5,1,32,1,1,1,1384,1743,86,213,95.000000, 
260,2,1,33,0,0,0,476,2339,547,127,-1,
261,3,1,33,1,0,0,476,2339,547,127,-1,
262,4,1,33,1,1,0,476,2339,547,127,-1,
263,5,1,33,1,1,1,476,2339,547,127,95.000000,  
264,5,1,33,1,1,2,629,2339,38,14,95.000000, 
265,5,1,33,1,1,3,796,2339,227,14,95.000000, 
266,2,1,34,0,0,0,1239,2442,150,55,-1,
267,3,1,34,1,0,0,1239,2442,150,55,-1,
268,4,1,34,1,1,0,1239,2442,150,55,-1,
269,5,1,34,1,1,1,1239,2442,150,55,95.000000,  
270,2,1,35,0,0,0,182,1539,2241,1024,-1,
271,3,1,35,1,0,0,182,1539,2241,1024,-1,
272,4,1,35,1,1,0,2408,1539,15,9,-1,
273,5,1,35,1,1,1,2408,1539,15,9,8.547226,Pa
274,4,1,35,1,2,0,2408,1551,14,16,-1,
275,5,1,35,1,2,1,2408,1551,14,16,28.860161,iS
276,4,1,35,1,3,0,2408,1568,15,9,-1,
277,5,1,35,1,3,1,2408,1568,15,9,88.243202,5
278,4,1,35,1,4,0,1761,1579,657,13,-1,
279,5,1,35,1,4,1,1761,1585,21,7,44.867813,=
280,5,1,35,1,4,2,2415,1579,3,11,28.771645,t
281,4,1,35,1,5,0,1757,1584,666,44,-1,
282,5,1,35,1,5,1,1757,1584,43,43,36.319519,oer
283,5,1,35,1,5,2,1920,1585,83,43,45.083729,3/4NBAB
284,5,1,35,1,5,3,2408,1591,15,20,61.734528,7
285,4,1,35,1,6,0,1467,1609,955,40,-1,
286,5,1,35,1,6,1,1467,1618,39,16,94.855408,HEAT
287,5,1,35,1,6,2,1515,1618,61,17,94.855408,TRACED
288,5,1,35,1,6,3,1915,1609,73,40,42.293896,vB11203
289,5,1,35,1,6,4,2407,1611,15,33,57.107449,8
290,4,1,35,1,7,0,956,1636,1462,24,-1,
291,5,1,35,1,7,1,956,1636,29,16,78.155853,SEE
292,5,1,35,1,7,2,995,1636,74,16,78.155853,CHEMICAL
293,5,1,35,1,7,3,1221,1639,28,14,86.346512,SEE
294,5,1,35,1,7,4,1260,1639,73,15,62.867420,CHEVICAL
295,5,1,35,1,7,5,1456,1643,14,16,92.619141,&
296,5,1,35,1,7,6,1481,1642,83,18,95.678253,INSULATED
297,5,1,35,1,7,7,1722,1642,59,16,25.393631,cor
298,5,1,35,1,7,8,1846,1641,38,15,70.418259,NOTE
299,5,1,35,1,7,9,1896,1641,17,15,88.592438,17
300,5,1,35,1,7,10,2415,1645,3,11,82.874657,7
301,4,1,35,1,8,0,958,1654,1464,23,-1,
302,5,1,35,1,8,1,958,1656,71,16,37.605549,INJECTION
303,5,1,35,1,8,2,1038,1656,46,15,85.172745,DETAL
304,5,1,35,1,8,3,1094,1654,18,20,74.784012,42
305,5,1,35,1,8,4,1223,1658,70,15,0.000000,BWECTION
306,5,1,35,1,8,5,1303,1659,45,15,89.174309,DETAL
307,5,1,35,1,8,6,1358,1656,18,21,78.967010,42
308,5,1,35,1,8,7,2405,1657,17,16,31.153114,=
309,4,1,35,1,9,0,1465,1675,557,19,-1,
310,5,1,35,1,9,1,1465,1678,22,16,46.210533,NO
311,5,1,35,1,9,2,1498,1678,89,16,46.210533,INSULATION
312,5,1,35,1,9,3,1894,1675,128,16,0.000000,6*-M-D1-2108
313,4,1,35,1,10,0,1802,1696,43,22,-1,
314,5,1,35,1,10,1,1802,1696,43,22,0.000000,"\4""er"
315,4,1,35,1,11,0,830,1762,68,16,-1,
316,5,1,35,1,11,1,830,1762,39,16,89.728371,NOTE
317,5,1,35,1,11,2,881,1763,17,15,89.728371,14
318,4,1,35,1,12,0,852,1797,16,17,-1,
319,5,1,35,1,12,1,852,1797,16,17,66.963058,PI
320,4,1,35,1,13,0,825,1828,293,35,-1,
321,5,1,35,1,13,1,825,1828,62,16,84.117081,4104—
322,5,1,35,1,13,2,1090,1846,28,17,43.050846,a
323,4,1,35,1,14,0,876,1861,471,33,-1,
324,5,1,35,1,14,1,876,1867,66,17,20.713249,20620
325,5,1,35,1,14,2,1068,1877,63,17,0.000000,‘04
326,5,1,35,1,14,3,1279,1861,39,16,35.146431,TE
327,5,1,35,1,14,4,1329,1861,18,15,30.965454,ee
328,4,1,35,1,15,0,870,1887,258,27,-1,
329,5,1,35,1,15,1,870,1887,75,27,26.598473,‘M11237
330,5,1,35,1,15,2,1080,1894,48,11,31.083389,—
331,4,1,35,1,16,0,341,1894,974,41,-1,
332,5,1,35,1,16,1,341,1894,130,41,0.000000,"6""-WH-FI-2104"
333,5,1,35,1,16,2,1050,1902,30,31,25.981331,SY
334,5,1,35,1,16,3,1086,1916,39,15,67.560005,wore
335,5,1,35,1,16,4,1135,1917,17,14,91.743187,21
336,5,1,35,1,16,5,1299,1904,16,17,61.380825,PI
337,4,1,35,1,17,0,182,1915,1149,44,-1,
338,5,1,35,1,17,1,178,1911,61,52,17.213051,[or
339,5,1,35,1,17,2,251,1911,36,52,17.213051,0020
340,5,1,35,1,17,3,346,1943,131,16,33.438759,ree
341,5,1,35,1,17,4,645,1926,111,20,40.448078,tpt
342,5,1,35,1,17,5,1290,1935,41,17,35.325333,04>
343,4,1,35,1,18,0,345,1951,468,28,-1,
344,5,1,35,1,18,1,345,1963,41,16,93.815842,INLET
345,5,1,35,1,18,2,398,1963,68,16,61.152027,PIPELINE
346,5,1,35,1,18,3,597,1951,89,19,0.000000,"6've502,NC"
347,5,1,35,1,18,4,694,1947,15,33,66.896652,|
348,5,1,35,1,18,5,723,1951,90,20,20.298630,"6°VB602,NC"
349,4,1,35,1,19,0,596,1964,916,40,-1,
350,5,1,35,1,19,1,596,1976,67,15,25.559464,vBii234
351,5,1,35,1,19,2,695,1960,14,40,15.731064,}Y
352,5,1,35,1,19,3,721,1974,68,16,0.000000,val1236
353,5,1,35,1,19,4,913,1986,16,17,34.714439,Pra
354,5,1,35,1,19,5,990,1986,17,17,23.760422,Wen
355,5,1,35,1,19,6,1222,1964,65,40,0.000000,2°vu320
356,5,1,35,1,19,7,1446,1978,66,17,0.000000,2320
357,4,1,35,1,20,0,1221,2000,294,18,-1,
358,5,1,35,1,20,1,1221,2000,27,16,0.000000,vu
359,5,1,35,1,20,2,1254,2001,36,15,11.139221,i238
360,5,1,35,1,20,3,1444,2002,71,16,0.000000,vuit239
361,4,1,35,1,21,0,663,2012,984,38,-1,
362,5,1,35,1,21,1,663,2012,81,38,0.000000,3/4V0681
363,5,1,35,1,21,2,1518,2020,129,18,45.139713,"6""-Wi-D1-2105"
364,4,1,35,1,22,0,662,2050,655,24,-1,
365,5,1,35,1,22,1,662,2050,68,16,68.775635,¥B11235
366,5,1,35,1,22,2,1259,2058,37,15,86.683281,NOTE
367,5,1,35,1,22,3,1308,2059,9,15,96.408905,6
368,4,1,35,1,23,0,1272,2096,101,19,-1,
369,5,1,35,1,23,1,1272,2096,101,19,0.000000,"2°vB300,0SC"
370,4,1,35,1,24,0,1170,2116,170,33,-1,
371,5,1,35,1,24,1,1170,2130,16,19,85.812523,=
372,5,1,35,1,24,2,1272,2116,68,16,22.257172,va11232
373,4,1,35,1,25,0,1275,2145,65,17,-1,
374,5,1,35,1,25,1,1275,2145,65,17,0.000000,2°va300
375,4,1,35,1,26,0,847,2155,31,16,-1,
376,5,1,35,1,26,1,847,2155,31,16,26.025070,3x4
377,4,1,35,1,27,0,833,2155,697,52,-1,
378,5,1,35,1,27,1,833,2179,52,16,49.493633,se
379,5,1,35,1,27,2,1170,2201,15,4,88.762978,=
380,5,1,35,1,27,3,1274,2155,68,40,9.141602,811233
381,5,1,35,1,27,4,1515,2186,15,21,85.585815,‘
382,4,1,35,1,28,0,818,2204,712,22,-1,
383,5,1,35,1,28,1,818,2204,36,17,93.678436,92.5
384,5,1,35,1,28,2,864,2204,36,20,84.528191,Borg
385,5,1,35,1,28,3,1171,2208,15,11,78.351593,=
386,5,1,35,1,28,4,1515,2210,15,16,58.267651,5
387,4,1,35,1,29,0,805,2227,725,20,-1,
388,5,1,35,1,29,1,805,2227,28,18,55.279228,“cv
389,5,1,35,1,29,2,843,2227,125,18,0.000000,"FALURE""/PSV"
390,5,1,35,1,29,3,1515,2227,15,20,0.000000,z
391,4,1,35,1,30,0,912,2250,618,50,-1,
392,5,1,35,1,30,1,912,2257,63,17,16.877930,104-1
393,5,1,35,1,30,2,1008,2270,18,16,43.574310,A]
394,5,1,35,1,30,3,1059,2271,19,17,45.682419,oy
395,5,1,35,1,30,4,1170,2254,16,21,86.921707,Q
396,5,1,35,1,30,5,1514,2250,16,50,4.333389,z
397,4,1,35,1,31,0,1513,2301,16,17,-1,
398,5,1,35,1,31,1,1513,2301,16,17,47.322151,A
399,4,1,35,1,32,0,346,2312,706,58,-1,
400,5,1,35,1,32,1,346,2312,133,40,0.000000,B°-WS-A2-2204
401,5,1,35,1,32,2,559,2328,40,17,91.192192,NOTE
402,5,1,35,1,32,3,609,2329,20,16,60.801529,23
403,5,1,35,1,32,4,648,2314,14,40,19.309280,_
404,5,1,35,1,32,5,667,2326,129,18,19.309280,B°-WS-A1-2201
405,5,1,35,1,32,6,1024,2319,28,51,73.820343,4
406,4,1,35,1,33,0,282,2341,21,16,-1,
407,5,1,35,1,33,1,282,2341,21,16,71.960960,AR
408,4,1,35,1,34,0,217,2341,167,33,-1,
409,5,1,35,1,34,1,217,2341,98,18,59.782974,OVERBOARD
410,5,1,35,1,34,2,345,2358,39,16,60.009094,=
411,4,1,35,1,35,0,981,2395,66,18,-1,
412,5,1,35,1,35,1,981,2395,66,18,0.000000,es
413,5,1,35,1,35,2,1032,2391,18,30,37.155540,D
414,4,1,35,1,36,0,441,2450,71,17,-1,
